Week,Measurement,Phase,Consumption
2023-W33,Grid Organi lbc,PHASEA,763814.7
2023-W33,Grid Organi lbc,PHASEB,763814.7
2023-W33,Grid Organi lbc,PHASEC,869484.8
2023-W33,Chargers,PHASEA,906444.1000000001
2023-W33,Chargers,PHASEB,95930.2
2023-W33,Chargers,PHASEC,97644.4
2023-W33,Solar,PHASEA,84328.70000000001
2023-W34,Grid Organi lbc,PHASEA,601368.3
2023-W34,Grid Organi lbc,PHASEB,601368.3
2023-W34,Grid Organi lbc,PHASEC,623935.7
2023-W34,Chargers,PHASEA,653568.3
2023-W34,Chargers,PHASEB,166565.0
2023-W34,Chargers,PHASEC,123336.6
2023-W34,Solar,PHASEA,126857.09999999999
2023-W36,Grid Organi lbc,PHASEA,566367.4
2023-W36,Grid Organi lbc,PHASEB,566367.4
2023-W36,Grid Organi lbc,PHASEC,641602.4
2023-W36,Chargers,PHASEA,772056.4000000001
2023-W36,Chargers,PHASEB,81610.09999999999
2023-W36,Chargers,PHASEC,119922.9
2023-W36,Solar,PHASEA,87489.09999999999
2023-W37,Grid Organi lbc,PHASEA,987931.5
2023-W37,Grid Organi lbc,PHASEB,987931.5
2023-W37,Grid Organi lbc,PHASEC,1016493.7999999999
2023-W37,Chargers,PHASEA,1170026.1
2023-W37,Chargers,PHASEB,201516.6
2023-W37,Chargers,PHASEC,183674.19999999998
2023-W37,Solar,PHASEA,193635.3
2023-W38,Grid Organi lbc,PHASEA,975365.5
2023-W38,Grid Organi lbc,PHASEB,975365.5
2023-W38,Grid Organi lbc,PHASEC,1002204.8
2023-W38,Chargers,PHASEA,1152625.9
2023-W38,Chargers,PHASEB,244290.4
2023-W38,Chargers,PHASEC,218459.60000000003
2023-W38,Solar,PHASEA,226919.3
2023-W39,Grid Organi lbc,PHASEA,1045964.7999999999
2023-W39,Grid Organi lbc,PHASEB,1045964.7999999999
2023-W39,Grid Organi lbc,PHASEC,1076698.3
2023-W39,Chargers,PHASEA,1168511.4000000001
2023-W39,Chargers,PHASEB,322836.80000000005
2023-W39,Chargers,PHASEC,270002.6
2023-W39,Solar,PHASEA,245856.8
2023-W40,Grid Organi lbc,PHASEA,1070715.5
2023-W40,Grid Organi lbc,PHASEB,1070715.5
2023-W40,Grid Organi lbc,PHASEC,1079405.0
2023-W40,Chargers,PHASEA,1237044.4
2023-W40,Chargers,PHASEB,349507.9
2023-W40,Chargers,PHASEC,282875.4
2023-W40,Solar,PHASEA,327019.30000000005
2023-W41,Grid Organi lbc,PHASEA,1075242.3
2023-W41,Grid Organi lbc,PHASEB,1075242.3
2023-W41,Grid Organi lbc,PHASEC,1094144.6
2023-W41,Chargers,PHASEA,1165199.7
2023-W41,Chargers,PHASEB,341676.60000000003
2023-W41,Chargers,PHASEC,334978.30000000005
2023-W41,Solar,PHASEA,283846.4
2023-W42,Grid Organi lbc,PHASEA,1040055.6
2023-W42,Grid Organi lbc,PHASEB,1040055.6
2023-W42,Grid Organi lbc,PHASEC,1062430.4000000001
2023-W42,Chargers,PHASEA,1125946.1
2023-W42,Chargers,PHASEB,237398.5
2023-W42,Chargers,PHASEC,273463.5
2023-W42,Solar,PHASEA,234088.6
2023-W43,Grid Organi lbc,PHASEA,1153429.0
2023-W43,Grid Organi lbc,PHASEB,1153429.0
2023-W43,Grid Organi lbc,PHASEC,1158821.5
2023-W43,Chargers,PHASEA,1230051.3
2023-W43,Chargers,PHASEB,334732.6
2023-W43,Chargers,PHASEC,341036.2
2023-W43,Solar,PHASEA,349562.10000000003
2023-W44,Grid Organi lbc,PHASEA,1049787.9000000001
2023-W44,Grid Organi lbc,PHASEB,1049787.9000000001
2023-W44,Grid Organi lbc,PHASEC,982475.2
2023-W44,Chargers,PHASEA,1063829.6
2023-W44,Chargers,PHASEB,250160.10000000003
2023-W44,Chargers,PHASEC,238885.59999999998
2023-W44,Solar,PHASEA,246718.4
2023-W45,Grid Organi lbc,PHASEA,1209769.9000000001
2023-W45,Grid Organi lbc,PHASEB,1209769.9000000001
2023-W45,Grid Organi lbc,PHASEC,1097172.6
2023-W45,Chargers,PHASEA,1188215.9
2023-W45,Chargers,PHASEB,379208.5
2023-W45,Chargers,PHASEC,329743.3
2023-W45,Solar,PHASEA,336590.3
2023-W46,Grid Organi lbc,PHASEA,1183625.5
2023-W46,Grid Organi lbc,PHASEB,1183625.5
2023-W46,Grid Organi lbc,PHASEC,1150128.5
2023-W46,Chargers,PHASEA,1221595.6
2023-W46,Chargers,PHASEB,348077.4
2023-W46,Chargers,PHASEC,350709.5
2023-W46,Solar,PHASEA,365323.69999999995
2023-W47,Grid Organi lbc,PHASEA,1264725.4
2023-W47,Grid Organi lbc,PHASEB,1264725.4
2023-W47,Grid Organi lbc,PHASEC,1144917.5
2023-W47,Chargers,PHASEA,1258675.5
2023-W47,Chargers,PHASEB,367739.80000000005
2023-W47,Chargers,PHASEC,350642.80000000005
2023-W47,Solar,PHASEA,396499.5
2023-W48,Grid Organi lbc,PHASEA,1400874.4
2023-W48,Grid Organi lbc,PHASEB,1400874.4
2023-W48,Grid Organi lbc,PHASEC,1251050.4
2023-W48,Chargers,PHASEA,1252846.9
2023-W48,Chargers,PHASEB,426300.19999999995
2023-W48,Chargers,PHASEC,474703.4
2023-W48,Solar,PHASEA,409500.6
2023-W49,Grid Organi lbc,PHASEA,1381105.2999999998
2023-W49,Grid Organi lbc,PHASEB,1381105.2999999998
2023-W49,Grid Organi lbc,PHASEC,1154827.3000000003
2023-W49,Chargers,PHASEA,1229395.2999999998
2023-W49,Chargers,PHASEB,418178.5999999999
2023-W49,Chargers,PHASEC,380581.6
2023-W49,Solar,PHASEA,380502.0
2023-W50,Grid Organi lbc,PHASEA,1258736.5
2023-W50,Grid Organi lbc,PHASEB,1258736.5
2023-W50,Grid Organi lbc,PHASEC,1175114.5
2023-W50,Chargers,PHASEA,1240929.9
2023-W50,Chargers,PHASEB,360617.7
2023-W50,Chargers,PHASEC,376888.70000000007
2023-W50,Solar,PHASEA,396586.9
2023-W51,Grid Organi lbc,PHASEA,1286389.1
2023-W51,Grid Organi lbc,PHASEB,1286389.1
2023-W51,Grid Organi lbc,PHASEC,1143911.5
2023-W51,Chargers,PHASEA,1187833.5999999999
2023-W51,Chargers,PHASEB,390290.6
2023-W51,Chargers,PHASEC,356860.1
2023-W51,Solar,PHASEA,333784.4
2023-W52,Grid Organi lbc,PHASEA,946371.7
2023-W52,Grid Organi lbc,PHASEB,946371.7
2023-W52,Grid Organi lbc,PHASEC,885140.1000000001
2023-W52,Chargers,PHASEA,947149.7
2023-W52,Chargers,PHASEB,188506.3
2023-W52,Chargers,PHASEC,175022.3
2023-W52,Solar,PHASEA,179093.40000000002
2024-W01,Grid Organi lbc,PHASEA,1231362.2999999998
2024-W01,Grid Organi lbc,PHASEB,1231362.2999999998
2024-W01,Grid Organi lbc,PHASEC,1149498.3
2024-W01,Chargers,PHASEA,1145561.0
2024-W01,Chargers,PHASEB,355980.3
2024-W01,Chargers,PHASEC,339131.5
2024-W01,Solar,PHASEA,305760.3
2024-W02,Grid Organi lbc,PHASEA,1550818.5
2024-W02,Grid Organi lbc,PHASEB,1550818.5
2024-W02,Grid Organi lbc,PHASEC,1348450.7
2024-W02,Chargers,PHASEA,1372800.5
2024-W02,Chargers,PHASEB,471647.80000000005
2024-W02,Chargers,PHASEC,457547.69999999995
2024-W02,Solar,PHASEA,487497.60000000003
2024-W03,Grid Organi lbc,PHASEA,1599971.5
2024-W03,Grid Organi lbc,PHASEB,1599971.5
2024-W03,Grid Organi lbc,PHASEC,1303606.4
2024-W03,Chargers,PHASEA,1317954.9000000001
2024-W03,Chargers,PHASEB,488898.80000000005
2024-W03,Chargers,PHASEC,463286.8
2024-W03,Solar,PHASEA,450075.7
2024-W04,Grid Organi lbc,PHASEA,1470998.7000000002
2024-W04,Grid Organi lbc,PHASEB,1470998.7000000002
2024-W04,Grid Organi lbc,PHASEC,1249994.5999999999
2024-W04,Chargers,PHASEA,1230274.8
2024-W04,Chargers,PHASEB,381683.9
2024-W04,Chargers,PHASEC,361278.9
2024-W04,Solar,PHASEA,322884.5
2024-W05,Grid Organi lbc,PHASEA,1432421.8
2024-W05,Grid Organi lbc,PHASEB,1432421.8
2024-W05,Grid Organi lbc,PHASEC,1224917.8
2024-W05,Chargers,PHASEA,1226035.0
2024-W05,Chargers,PHASEB,390054.0
2024-W05,Chargers,PHASEC,374919.0
2024-W05,Solar,PHASEA,323696.19999999995
2024-W06,Grid Organi lbc,PHASEA,1407668.1
2024-W06,Grid Organi lbc,PHASEB,1407668.1
2024-W06,Grid Organi lbc,PHASEC,1187588.0
2024-W06,Chargers,PHASEA,1282456.6
2024-W06,Chargers,PHASEB,392982.39999999997
2024-W06,Chargers,PHASEC,342296.0
2024-W06,Solar,PHASEA,374521.30000000005
2024-W07,Grid Organi lbc,PHASEA,1265796.3
2024-W07,Grid Organi lbc,PHASEB,1265796.3
2024-W07,Grid Organi lbc,PHASEC,1174631.4
2024-W07,Chargers,PHASEA,1202561.4
2024-W07,Chargers,PHASEB,312569.5
2024-W07,Chargers,PHASEC,314324.19999999995
2024-W07,Solar,PHASEA,304467.0
2024-W08,Grid Organi lbc,PHASEA,1452366.2000000002
2024-W08,Grid Organi lbc,PHASEB,1452366.2000000002
2024-W08,Grid Organi lbc,PHASEC,1225013.1
2024-W08,Chargers,PHASEA,1261146.7999999998
2024-W08,Chargers,PHASEB,412764.6
2024-W08,Chargers,PHASEC,360138.2
2024-W08,Solar,PHASEA,358640.39999999997
2024-W09,Grid Organi lbc,PHASEA,1500987.0
2024-W09,Grid Organi lbc,PHASEB,1500987.0
2024-W09,Grid Organi lbc,PHASEC,1181140.6
2024-W09,Chargers,PHASEA,1235903.5
2024-W09,Chargers,PHASEB,362472.60000000003
2024-W09,Chargers,PHASEC,282735.99999999994
2024-W09,Solar,PHASEA,304385.3
2024-W10,Grid Organi lbc,PHASEA,1377777.0
2024-W10,Grid Organi lbc,PHASEB,1377777.0
2024-W10,Grid Organi lbc,PHASEC,1250875.9
2024-W10,Chargers,PHASEA,1251245.9
2024-W10,Chargers,PHASEB,272714.6
2024-W10,Chargers,PHASEC,266823.7
2024-W10,Solar,PHASEA,257841.2
2024-W10,Solar,PHASEB,-58286.99999999999
2024-W11,Grid Organi lbc,PHASEA,1293874.7999999998
2024-W11,Grid Organi lbc,PHASEB,1293874.7999999998
2024-W11,Grid Organi lbc,PHASEC,1251521.1999999997
2024-W11,Chargers,PHASEA,1269052.4
2024-W11,Chargers,PHASEB,274466.9
2024-W11,Chargers,PHASEC,276520.5
2024-W11,Solar,PHASEA,249343.7
2024-W11,Solar,PHASEB,-70703.09999999999
2024-W12,Grid Organi lbc,PHASEA,1272596.7999999998
2024-W12,Grid Organi lbc,PHASEB,1272596.7999999998
2024-W12,Grid Organi lbc,PHASEC,1203530.7999999998
2024-W12,Chargers,PHASEA,1231631.7
2024-W12,Chargers,PHASEB,326545.7
2024-W12,Chargers,PHASEC,288031.6
2024-W12,Solar,PHASEA,309943.1
2024-W12,Solar,PHASEB,-89426.7
2024-W13,Grid Organi lbc,PHASEA,1314200.8
2024-W13,Grid Organi lbc,PHASEB,1314200.8
2024-W13,Grid Organi lbc,PHASEC,1216313.6
2024-W13,Chargers,PHASEA,1248188.6
2024-W13,Chargers,PHASEB,309300.9
2024-W13,Chargers,PHASEC,268629.4
2024-W13,Solar,PHASEA,290332.9
2024-W13,Solar,PHASEB,-116848.8
2024-W14,Grid Organi lbc,PHASEA,1113148.2999999998
2024-W14,Grid Organi lbc,PHASEB,1113148.2999999998
2024-W14,Grid Organi lbc,PHASEC,1060113.6
2024-W14,Chargers,PHASEA,1077607.7
2024-W14,Chargers,PHASEB,234476.9
2024-W14,Chargers,PHASEC,176138.9
2024-W14,Solar,PHASEA,175759.50000000003
2024-W14,Solar,PHASEB,-85172.90000000002
2024-W15,Grid Organi lbc,PHASEA,1236606.8
2024-W15,Grid Organi lbc,PHASEB,1236606.8
2024-W15,Grid Organi lbc,PHASEC,1239287.2
2024-W15,Chargers,PHASEA,1253653.3
2024-W15,Chargers,PHASEB,276456.5
2024-W15,Chargers,PHASEC,265846.2
2024-W15,Solar,PHASEA,258179.5
2024-W15,Solar,PHASEB,-33899.6
2024-W16,Grid Organi lbc,PHASEA,1415435.2
2024-W16,Grid Organi lbc,PHASEB,1415435.2
2024-W16,Grid Organi lbc,PHASEC,1344560.9
2024-W16,Chargers,PHASEA,1338459.8
2024-W16,Chargers,PHASEB,323975.5
2024-W16,Chargers,PHASEC,306163.7
2024-W16,Solar,PHASEA,331222.80000000005
2024-W16,Solar,PHASEB,-128780.1
2024-W17,Grid Organi lbc,PHASEA,1374717.9
2024-W17,Grid Organi lbc,PHASEB,1374717.9
2024-W17,Grid Organi lbc,PHASEC,1293744.0
2024-W17,Chargers,PHASEA,1285878.3
2024-W17,Chargers,PHASEB,294388.9
2024-W17,Chargers,PHASEC,276532.50000000006
2024-W17,Solar,PHASEA,290831.6
2024-W17,Solar,PHASEB,-143346.1
