Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-03-04 23:00:00,"16,404","5,9","5,59","4,921","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-04 22:00:00,"16,174","5,729","5,581","4,871","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-04 21:00:00,"16,326","5,925","5,541","4,866","0,037","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-04 20:00:00,"16,343","5,864","5,575","4,911","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-04 19:00:00,"16,909","6,128","5,831","4,958","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-04 18:00:00,"21,325","7,595","7,617","5,936","0,999","0,991","0,978","0,059","0,056","0,062","0,023","0,024","0,022"
2025-03-04 17:00:00,"25,008","8,292","8,274","6,289","1,252","1,241","1,228","0,712","0,721","0,719","0,153","0,155","0,153"
2025-03-04 16:00:00,"37,959","10,42","12,48","8,13","0,266","2,949","0,251","2,294","2,326","2,309","3,097","3,092","3,097"
2025-03-04 15:00:00,"39,032","9,29","11,148","6,755","0,041","3,468","0,023","3,919","3,975","3,947","2,859","2,86","2,834"
2025-03-04 14:00:00,"40,071","8,505","10,183","5,714","0,042","3,617","0,022","5,184","5,262","5,223","3,045","3,038","3,023"
2025-03-04 13:00:00,"47,352","10,38","11,94","7,475","2,5","6,199","3,783","5,808","5,897","5,853","2,235","2,252","2,258"
2025-03-04 12:00:00,"75,391","19,794","20,811","18,081","5,851","8,993","7,432","5,528","5,61","5,566","8,411","8,421","8,427"
2025-03-04 11:00:00,"103,842","29,559","26,897","31,443","12,395","12,369","16,127","5,277","5,356","5,311","11,117","11,135","13,921"
2025-03-04 10:00:00,"132,663","40,702","38,198","41,951","11,914","11,888","14,438","3,911","3,969","3,934","21,316","21,329","25,13"
2025-03-04 09:00:00,"127,582","41,334","38,18","42,116","7,487","7,453","10,653","1,97",2,"1,982","24,287","24,272","27,212"
2025-03-04 08:00:00,"113,405","39,363","36,533","35,437","10,659","10,615","11,051","0,686","0,694","0,691","18,739","18,687","18,698"
2025-03-04 07:00:00,"59,099","21,566","19,084","18,137","6,193","6,169","6,141","0,105","0,102","0,107","6,172","6,166","6,14"
2025-03-04 06:00:00,"26,33","9,484","8,915","7,938","0,036","0,033","0,021",0,"-0,006","-0,001","1,75","1,745","1,738"
2025-03-04 05:00:00,"17,84","6,698","5,966","5,183","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-03-04 04:00:00,"16,758","6,307","5,603","4,855","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,025"
2025-03-04 03:00:00,"16,813","6,393","5,58","4,848","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,025"
2025-03-04 02:00:00,"16,747","6,275","5,61","4,869","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,024"
2025-03-04 01:00:00,"16,797","6,273","5,664","4,866","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,024"
2025-03-04 00:00:00,"17,116","6,309","5,879","4,936","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,024"
2025-03-03 23:00:00,"16,493","6,005","5,619","4,877","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,024"
2025-03-03 22:00:00,"16,292","5,777","5,634","4,888","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,024"
2025-03-03 21:00:00,"16,365","5,851","5,594","4,927","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-03-03 20:00:00,"16,314","5,809","5,604","4,909","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-03-03 19:00:00,"16,626","6,137","5,619","4,877","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-03-03 18:00:00,"22,082","7,858","7,573","6,487","1,499","1,506","1,591","0,056","0,052","0,058","0,025","0,024","0,025"
2025-03-03 17:00:00,"41,224","13,781","13,029","12,39","3,839","3,858","4,248","0,671","0,678","0,676","2,501","2,482","2,473"
2025-03-03 16:00:00,"44,973","14,121","12,52","11,678","0,244","0,035","0,814","2,203","2,234","2,217","6,083","6,035","6,043"
2025-03-03 15:00:00,"58,421","17,377","15,197","14,247","3,363","3,095","3,361","3,841","3,893","3,867","6,404","6,486","7,138"
2025-03-03 14:00:00,"70,791","20,338","18,511","16,411","4,2","4,249","4,199","5,141","5,213","5,178","10,162","10,407","10,379"
2025-03-03 13:00:00,"74,17","21,171","18,881","16,697","7,571","7,599","7,557","5,765","5,845","5,81","8,888","8,875","8,871"
2025-03-03 12:00:00,"76,694","21,458","20,576","16,882","8,376","9,912","8,353","5,884","5,965","5,927","7,483","7,481","7,456"
2025-03-03 11:00:00,"97,197","28,512","29,111","23,209","9,718","13,292","9,675","5,418","5,489","5,458","12,952","12,846","12,935"
2025-03-03 10:00:00,"122,275","38,381","38,238","32,923","14,863","18,525","14,801","4,213","4,275","4,245","15,658","15,559","15,635"
2025-03-03 09:00:00,"122,31","40,502","39,81","34,316","16,953","20,531","16,898","2,542","2,58","2,56","13,885","13,765","13,872"
2025-03-03 08:00:00,"108,602","36,52","37,451","31,733","19,523","23,203","19,461","0,96","0,973","0,967","6,998","6,955","6,967"
2025-03-03 07:00:00,"62,279","21,544","21,565","18,87","10,452","11,537","10,427","0,1","0,098","0,103","3,34","3,348","3,312"
2025-03-03 06:00:00,"17,551","6,789","5,861","4,908","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-03 05:00:00,"17,271","6,422","5,916","4,942","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-03 04:00:00,"17,06","6,225","5,906","4,936","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-03-03 03:00:00,"17,215","6,375","5,921","4,926","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,021"
2025-03-03 02:00:00,"17,046","6,248","5,896","4,91","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,024","0,021"
2025-03-03 01:00:00,"16,943","6,215","5,756","4,978","0,036","0,035","0,02",0,"-0,006","-0,001","0,024","0,024","0,02"
2025-03-03 00:00:00,"17,066","6,258","5,91","4,904","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,021"
2025-03-02 23:00:00,"16,747","6,258","5,617","4,88","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 22:00:00,"16,595","6,058","5,654","4,89","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 21:00:00,"16,539","5,942","5,669","4,935","0,037","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 20:00:00,"16,477","5,934","5,643","4,906","0,037","0,033","0,019",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-02 19:00:00,"16,322","5,81","5,644","4,875","0,037","0,033","0,019",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 18:00:00,"16,148","5,512","5,612","4,88","0,038","0,033","0,019","0,048","0,045","0,05","0,026","0,022","0,02"
2025-03-02 17:00:00,"15,649","4,418","5,015","4,276","0,037","0,033","0,02","0,642","0,649","0,648","0,025","0,022","0,021"
2025-03-02 16:00:00,"15,862","2,953","3,452","2,717","0,036","0,034","0,019","2,232","2,264","2,244","0,023","0,022","0,021"
2025-03-02 15:00:00,"15,982","1,343","1,84","1,095","0,037","0,034","0,019","3,875","3,933","3,896","0,022","0,022","0,021"
2025-03-02 14:00:00,"16,211","0,264","0,585","-0,152","0,036","0,035","0,019","5,135","5,213","5,166","0,02","0,023","0,022"
2025-03-02 13:00:00,"16,46","-0,217","-0,055","-0,77","0,036","0,035","0,019","5,791","5,881","5,831","0,019","0,023","0,022"
2025-03-02 12:00:00,"16,656","0,059","-0,034","-0,723","0,036","0,035","0,019","5,741","5,833","5,779","0,019","0,023","0,022"
2025-03-02 11:00:00,"16,994","0,892","0,403","-0,332","0,036","0,034","0,019","5,306","5,388","5,338","0,02","0,023","0,022"
2025-03-02 10:00:00,"17,192","2,202","1,636","0,896","0,036","0,034","0,019","4,125","4,187","4,146","0,022","0,023","0,021"
2025-03-02 09:00:00,"16,925","3,833","3,228","2,469","0,036","0,034","0,019","2,449","2,487","2,461","0,023","0,023","0,021"
2025-03-02 08:00:00,"16,774","5,359","4,759","4,006","0,037","0,034","0,019","0,877","0,889","0,883","0,025","0,023","0,02"
2025-03-02 07:00:00,"16,791","6,203","5,578","4,825","0,036","0,034","0,019","0,062","0,059","0,065","0,025","0,024","0,021"
2025-03-02 06:00:00,"17,091","6,564","5,635","4,899","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 05:00:00,17,"6,516","5,581","4,91","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-02 04:00:00,"16,832","6,275","5,623","4,941","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-02 03:00:00,"16,717","6,209","5,586","4,93","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,023","0,021"
